scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,17,50,0.34
line,category,both,input_validation_weakness,20,50,0.4
line,category,both,unencrypted_data_output,13,50,0.26
line,category,diting_only,direct_usage_of_shared_memory,6,16,0.375
line,category,diting_only,input_validation_weakness,3,16,0.1875
line,category,diting_only,unencrypted_data_output,7,16,0.4375
line,category,llm_only,input_validation_weakness,5,6,0.8333
line,category,llm_only,unencrypted_data_output,1,6,0.1667
line,category,neither,direct_usage_of_shared_memory,3,3,1.0
line,function,both,input,11,50,0.22
line,function,both,output,4,50,0.08
line,function,both,produce,4,50,0.08
line,function,both,produce_2,4,50,0.08
line,function,both,produce_3,1,50,0.02
line,function,both,produce_i0,6,50,0.12
line,function,both,produce_i2,3,50,0.06
line,function,both,produce_s,2,50,0.04
line,function,both,produce_s2,2,50,0.04
line,function,both,produce_s3,6,50,0.12
line,function,both,shared_memory,7,50,0.14
line,function,diting_only,output,3,16,0.1875
line,function,diting_only,produce,2,16,0.125
line,function,diting_only,produce_2,2,16,0.125
line,function,diting_only,produce_i3,3,16,0.1875
line,function,diting_only,produce_s,1,16,0.0625
line,function,diting_only,produce_s2,1,16,0.0625
line,function,diting_only,produce_s3,2,16,0.125
line,function,diting_only,shared_memory,2,16,0.125
line,function,llm_only,produce_3,1,6,0.1667
line,function,llm_only,produce_i0,1,6,0.1667
line,function,llm_only,produce_i2,4,6,0.6667
line,function,neither,produce_s3,1,3,0.3333
line,function,neither,shared_memory,2,3,0.6667
line,group,both,IVW-input,11,50,0.22
line,group,both,IVW-produce_i0,6,50,0.12
line,group,both,IVW-produce_i2,3,50,0.06
line,group,both,SMO-produce_s,2,50,0.04
line,group,both,SMO-produce_s2,2,50,0.04
line,group,both,SMO-produce_s3,6,50,0.12
line,group,both,SMO-shared_memory,7,50,0.14
line,group,both,UDO-output,4,50,0.08
line,group,both,UDO-produce,4,50,0.08
line,group,both,UDO-produce_2,4,50,0.08
line,group,both,UDO-produce_3,1,50,0.02
line,group,diting_only,IVW-produce_i3,3,16,0.1875
line,group,diting_only,SMO-produce_s,1,16,0.0625
line,group,diting_only,SMO-produce_s2,1,16,0.0625
line,group,diting_only,SMO-produce_s3,2,16,0.125
line,group,diting_only,SMO-shared_memory,2,16,0.125
line,group,diting_only,UDO-output,3,16,0.1875
line,group,diting_only,UDO-produce,2,16,0.125
line,group,diting_only,UDO-produce_2,2,16,0.125
line,group,llm_only,IVW-produce_i0,1,6,0.1667
line,group,llm_only,IVW-produce_i2,4,6,0.6667
line,group,llm_only,UDO-produce_3,1,6,0.1667
line,group,neither,SMO-produce_s3,1,3,0.3333
line,group,neither,SMO-shared_memory,2,3,0.6667
strict,category,both,direct_usage_of_shared_memory,17,44,0.3864
strict,category,both,input_validation_weakness,15,44,0.3409
strict,category,both,unencrypted_data_output,12,44,0.2727
strict,category,diting_only,direct_usage_of_shared_memory,6,21,0.2857
strict,category,diting_only,input_validation_weakness,8,21,0.381
strict,category,diting_only,unencrypted_data_output,7,21,0.3333
