scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,17,53,0.3208
line,category,both,input_validation_weakness,23,53,0.434
line,category,both,unencrypted_data_output,13,53,0.2453
line,category,diting_only,direct_usage_of_shared_memory,6,13,0.4615
line,category,diting_only,unencrypted_data_output,7,13,0.5385
line,category,llm_only,input_validation_weakness,5,6,0.8333
line,category,llm_only,unencrypted_data_output,1,6,0.1667
line,category,neither,direct_usage_of_shared_memory,3,3,1.0
line,function,both,input,11,53,0.2075
line,function,both,output,4,53,0.0755
line,function,both,produce,4,53,0.0755
line,function,both,produce_2,4,53,0.0755
line,function,both,produce_3,1,53,0.0189
line,function,both,produce_i0,6,53,0.1132
line,function,both,produce_i2,3,53,0.0566
line,function,both,produce_i3,3,53,0.0566
line,function,both,produce_s,2,53,0.0377
line,function,both,produce_s2,2,53,0.0377
line,function,both,produce_s3,6,53,0.1132
line,function,both,shared_memory,7,53,0.1321
line,function,diting_only,output,3,13,0.2308
line,function,diting_only,produce,2,13,0.1538
line,function,diting_only,produce_2,2,13,0.1538
line,function,diting_only,produce_s,1,13,0.0769
line,function,diting_only,produce_s2,1,13,0.0769
line,function,diting_only,produce_s3,2,13,0.1538
line,function,diting_only,shared_memory,2,13,0.1538
line,function,llm_only,produce_3,1,6,0.1667
line,function,llm_only,produce_i0,1,6,0.1667
line,function,llm_only,produce_i2,4,6,0.6667
line,function,neither,produce_s3,1,3,0.3333
line,function,neither,shared_memory,2,3,0.6667
line,group,both,IVW-input,11,53,0.2075
line,group,both,IVW-produce_i0,6,53,0.1132
line,group,both,IVW-produce_i2,3,53,0.0566
line,group,both,IVW-produce_i3,3,53,0.0566
line,group,both,SMO-produce_s,2,53,0.0377
line,group,both,SMO-produce_s2,2,53,0.0377
line,group,both,SMO-produce_s3,6,53,0.1132
line,group,both,SMO-shared_memory,7,53,0.1321
line,group,both,UDO-output,4,53,0.0755
line,group,both,UDO-produce,4,53,0.0755
line,group,both,UDO-produce_2,4,53,0.0755
line,group,both,UDO-produce_3,1,53,0.0189
line,group,diting_only,SMO-produce_s,1,13,0.0769
line,group,diting_only,SMO-produce_s2,1,13,0.0769
line,group,diting_only,SMO-produce_s3,2,13,0.1538
line,group,diting_only,SMO-shared_memory,2,13,0.1538
line,group,diting_only,UDO-output,3,13,0.2308
line,group,diting_only,UDO-produce,2,13,0.1538
line,group,diting_only,UDO-produce_2,2,13,0.1538
line,group,llm_only,IVW-produce_i0,1,6,0.1667
line,group,llm_only,IVW-produce_i2,4,6,0.6667
line,group,llm_only,UDO-produce_3,1,6,0.1667
line,group,neither,SMO-produce_s3,1,3,0.3333
line,group,neither,SMO-shared_memory,2,3,0.6667
strict,category,both,direct_usage_of_shared_memory,17,38,0.4474
strict,category,both,input_validation_weakness,9,38,0.2368
strict,category,both,unencrypted_data_output,12,38,0.3158
strict,category,diting_only,direct_usage_of_shared_memory,6,27,0.2222
strict,category,diting_only,input_validation_weakness,14,27,0.5185
strict,category,diting_only,unencrypted_data_output,7,27,0.2593
strict,category,llm_only,input_validation_weakness,2,4,0.5
strict,category,llm_only,unencrypted_data_output,2,4,0.5
strict,category,neither,direct_usage_of_shared_memory,3,6,0.5
strict,category,neither,input_validation_weakness,3,6,0.5
strict,function,both,input,3,38,0.0789
strict,function,both,output,4,38,0.1053
strict,function,both,produce,4,38,0.1053
strict,function,both,produce_2,4,38,0.1053
strict,function,both,produce_i0,2,38,0.0526
strict,function,both,produce_i2,2,38,0.0526
strict,function,both,produce_i3,2,38,0.0526
strict,function,both,produce_s,2,38,0.0526
strict,function,both,produce_s2,2,38,0.0526
strict,function,both,produce_s3,6,38,0.1579
strict,function,both,shared_memory,7,38,0.1842
strict,function,diting_only,input,8,27,0.2963
strict,function,diting_only,output,3,27,0.1111
strict,function,diting_only,produce,2,27,0.0741
strict,function,diting_only,produce_2,2,27,0.0741
strict,function,diting_only,produce_i0,4,27,0.1481
strict,function,diting_only,produce_i2,1,27,0.037
strict,function,diting_only,produce_i3,1,27,0.037
strict,function,diting_only,produce_s,1,27,0.037
strict,function,diting_only,produce_s2,1,27,0.037
strict,function,diting_only,produce_s3,2,27,0.0741
strict,function,diting_only,shared_memory,2,27,0.0741
strict,function,llm_only,produce_3,2,4,0.5
strict,function,llm_only,produce_i0,1,4,0.25
strict,function,llm_only,produce_i2,1,4,0.25
strict,function,neither,produce_i2,3,6,0.5
strict,function,neither,produce_s3,1,6,0.1667
strict,function,neither,shared_memory,2,6,0.3333
strict,group,both,IVW-input,3,38,0.0789
strict,group,both,IVW-produce_i0,2,38,0.0526
strict,group,both,IVW-produce_i2,2,38,0.0526
strict,group,both,IVW-produce_i3,2,38,0.0526
strict,group,both,SMO-produce_s,2,38,0.0526
strict,group,both,SMO-produce_s2,2,38,0.0526
strict,group,both,SMO-produce_s3,6,38,0.1579
strict,group,both,SMO-shared_memory,7,38,0.1842
strict,group,both,UDO-output,4,38,0.1053
strict,group,both,UDO-produce,4,38,0.1053
strict,group,both,UDO-produce_2,4,38,0.1053
strict,group,diting_only,IVW-input,8,27,0.2963
strict,group,diting_only,IVW-produce_i0,4,27,0.1481
strict,group,diting_only,IVW-produce_i2,1,27,0.037
strict,group,diting_only,IVW-produce_i3,1,27,0.037
strict,group,diting_only,SMO-produce_s,1,27,0.037
strict,group,diting_only,SMO-produce_s2,1,27,0.037
strict,group,diting_only,SMO-produce_s3,2,27,0.0741
strict,group,diting_only,SMO-shared_memory,2,27,0.0741
strict,group,diting_only,UDO-output,3,27,0.1111
strict,group,diting_only,UDO-produce,2,27,0.0741
strict,group,diting_only,UDO-produce_2,2,27,0.0741
strict,group,llm_only,IVW-produce_i0,1,4,0.25
strict,group,llm_only,IVW-produce_i2,1,4,0.25
strict,group,llm_only,UDO-produce_3,2,4,0.5
strict,group,neither,IVW-produce_i2,3,6,0.5
strict,group,neither,SMO-produce_s3,1,6,0.1667
strict,group,neither,SMO-shared_memory,2,6,0.3333
