line,category,votes,in_consensus,is_ground_truth,status,function,label_id,group
116,unencrypted_data_output,5,1,1,TP,produce_2,p2-1,UDO-produce_2
117,unencrypted_data_output,5,1,1,TP,produce_2,p2-2,UDO-produce_2
118,unencrypted_data_output,0,0,1,FN,produce_2,p2-3,UDO-produce_2
119,unencrypted_data_output,0,0,1,FN,produce_2,p2-4,UDO-produce_2
121,unencrypted_data_output,5,1,1,TP,produce_2,c9-10,UDO-produce_2
122,unencrypted_data_output,5,1,1,TP,produce_2,c11-12-13,UDO-produce_2
125,unencrypted_data_output,5,1,0,FP,,,
126,unencrypted_data_output,5,1,0,FP,,,
136,unencrypted_data_output,5,1,1,TP,produce,p1-1,UDO-produce
137,unencrypted_data_output,5,1,1,TP,produce,p1-2,UDO-produce
138,unencrypted_data_output,0,0,1,FN,produce,p1-3,UDO-produce
139,unencrypted_data_output,0,0,1,FN,produce,p1-4,UDO-produce
143,unencrypted_data_output,5,1,1,TP,produce,c12,UDO-produce
144,unencrypted_data_output,5,1,1,TP,produce,c345,UDO-produce
147,unencrypted_data_output,5,1,0,FP,,,
148,unencrypted_data_output,5,1,0,FP,,,
154,unencrypted_data_output,5,1,1,TP,produce_3,p1-5,UDO-produce_3
155,unencrypted_data_output,5,1,1,TP,produce_3,p1-6,UDO-produce_3
175,unencrypted_data_output,5,1,1,TP,output,b1,UDO-output
176,unencrypted_data_output,5,1,1,TP,output,b2,UDO-output
177,unencrypted_data_output,0,0,1,FN,output,b3,UDO-output
178,unencrypted_data_output,0,0,1,FN,output,b4,UDO-output
184,unencrypted_data_output,5,1,1,TP,output,f12,UDO-output
185,unencrypted_data_output,5,1,1,TP,output,f345,UDO-output
186,unencrypted_data_output,0,0,1,FN,output,f6,UDO-output
189,unencrypted_data_output,5,1,0,FP,,,
190,unencrypted_data_output,5,1,0,FP,,,
191,unencrypted_data_output,5,1,0,FP,,,
201,input_validation_weakness,5,1,1,TP,produce_i2,p2-1,IVW-produce_i2
202,input_validation_weakness,5,1,1,TP,produce_i2,p2-2,IVW-produce_i2
203,input_validation_weakness,5,1,1,TP,produce_i2,p2-3,IVW-produce_i2
204,direct_usage_of_shared_memory,5,1,0,FP,,,
204,input_validation_weakness,0,0,1,FN,produce_i2,p2-4,IVW-produce_i2
205,direct_usage_of_shared_memory,5,1,0,FP,,,
208,direct_usage_of_shared_memory,1,0,0,none,,,
208,input_validation_weakness,4,1,1,TP,produce_i2,p2-5,IVW-produce_i2
210,input_validation_weakness,5,1,1,TP,produce_i2,c7,IVW-produce_i2
212,direct_usage_of_shared_memory,1,0,0,none,,,
212,input_validation_weakness,4,1,1,TP,produce_i2,c8,IVW-produce_i2
220,input_validation_weakness,5,1,1,TP,produce_i0,p1-1,IVW-produce_i0
