scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,21,55,0.3818
line,category,both,input_validation_weakness,20,55,0.3636
line,category,both,unencrypted_data_output,14,55,0.2545
line,category,diting_only,direct_usage_of_shared_memory,2,11,0.1818
line,category,diting_only,input_validation_weakness,3,11,0.2727
line,category,diting_only,unencrypted_data_output,6,11,0.5455
line,category,llm_only,input_validation_weakness,5,6,0.8333
line,category,llm_only,unencrypted_data_output,1,6,0.1667
line,category,neither,direct_usage_of_shared_memory,3,3,1.0
line,function,both,input,11,55,0.2
line,function,both,output,4,55,0.0727
line,function,both,produce,5,55,0.0909
line,function,both,produce_2,4,55,0.0727
line,function,both,produce_3,1,55,0.0182
line,function,both,produce_i0,6,55,0.1091
line,function,both,produce_i2,3,55,0.0545
line,function,both,produce_s,3,55,0.0545
line,function,both,produce_s2,3,55,0.0545
line,function,both,produce_s3,7,55,0.1273
line,function,both,shared_memory,8,55,0.1455
line,function,diting_only,output,3,11,0.2727
line,function,diting_only,produce,1,11,0.0909
line,function,diting_only,produce_2,2,11,0.1818
line,function,diting_only,produce_i3,3,11,0.2727
line,function,diting_only,produce_s3,1,11,0.0909
line,function,diting_only,shared_memory,1,11,0.0909
line,function,llm_only,produce_3,1,6,0.1667
line,function,llm_only,produce_i0,1,6,0.1667
line,function,llm_only,produce_i2,4,6,0.6667
line,function,neither,produce_s3,1,3,0.3333
line,function,neither,shared_memory,2,3,0.6667
line,group,both,IVW-input,11,55,0.2
line,group,both,IVW-produce_i0,6,55,0.1091
line,group,both,IVW-produce_i2,3,55,0.0545
line,group,both,SMO-produce_s,3,55,0.0545
line,group,both,SMO-produce_s2,3,55,0.0545
line,group,both,SMO-produce_s3,7,55,0.1273
line,group,both,SMO-shared_memory,8,55,0.1455
line,group,both,UDO-output,4,55,0.0727
line,group,both,UDO-produce,5,55,0.0909
line,group,both,UDO-produce_2,4,55,0.0727
line,group,both,UDO-produce_3,1,55,0.0182
line,group,diting_only,IVW-produce_i3,3,11,0.2727
line,group,diting_only,SMO-produce_s3,1,11,0.0909
line,group,diting_only,SMO-shared_memory,1,11,0.0909
line,group,diting_only,UDO-output,3,11,0.2727
line,group,diting_only,UDO-produce,1,11,0.0909
line,group,diting_only,UDO-produce_2,2,11,0.1818
line,group,llm_only,IVW-produce_i0,1,6,0.1667
line,group,llm_only,IVW-produce_i2,4,6,0.6667
line,group,llm_only,UDO-produce_3,1,6,0.1667
line,group,neither,SMO-produce_s3,1,3,0.3333
line,group,neither,SMO-shared_memory,2,3,0.6667
strict,category,both,direct_usage_of_shared_memory,18,47,0.383
strict,category,both,input_validation_weakness,17,47,0.3617
strict,category,both,unencrypted_data_output,12,47,0.2553
strict,category,diting_only,direct_usage_of_shared_memory,5,18,0.2778
strict,category,diting_only,input_validation_weakness,6,18,0.3333
strict,category,diting_only,unencrypted_data_output,7,18,0.3889
strict,category,llm_only,input_validation_weakness,3,5,0.6
strict,category,llm_only,unencrypted_data_output,2,5,0.4
strict,category,neither,direct_usage_of_shared_memory,3,5,0.6
strict,category,neither,input_validation_weakness,2,5,0.4
strict,function,both,input,8,47,0.1702
strict,function,both,output,4,47,0.0851
strict,function,both,produce,4,47,0.0851
strict,function,both,produce_2,4,47,0.0851
strict,function,both,produce_i0,6,47,0.1277
strict,function,both,produce_i2,3,47,0.0638
strict,function,both,produce_s,2,47,0.0426
strict,function,both,produce_s2,2,47,0.0426
strict,function,both,produce_s3,6,47,0.1277
strict,function,both,shared_memory,8,47,0.1702
strict,function,diting_only,input,3,18,0.1667
strict,function,diting_only,output,3,18,0.1667
strict,function,diting_only,produce,2,18,0.1111
strict,function,diting_only,produce_2,2,18,0.1111
strict,function,diting_only,produce_i3,3,18,0.1667
strict,function,diting_only,produce_s,1,18,0.0556
strict,function,diting_only,produce_s2,1,18,0.0556
strict,function,diting_only,produce_s3,2,18,0.1111
strict,function,diting_only,shared_memory,1,18,0.0556
strict,function,llm_only,produce_3,2,5,0.4
strict,function,llm_only,produce_i0,1,5,0.2
strict,function,llm_only,produce_i2,2,5,0.4
strict,function,neither,produce_i2,2,5,0.4
strict,function,neither,produce_s3,1,5,0.2
strict,function,neither,shared_memory,2,5,0.4
strict,group,both,IVW-input,8,47,0.1702
strict,group,both,IVW-produce_i0,6,47,0.1277
strict,group,both,IVW-produce_i2,3,47,0.0638
strict,group,both,SMO-produce_s,2,47,0.0426
strict,group,both,SMO-produce_s2,2,47,0.0426
strict,group,both,SMO-produce_s3,6,47,0.1277
strict,group,both,SMO-shared_memory,8,47,0.1702
strict,group,both,UDO-output,4,47,0.0851
strict,group,both,UDO-produce,4,47,0.0851
strict,group,both,UDO-produce_2,4,47,0.0851
strict,group,diting_only,IVW-input,3,18,0.1667
strict,group,diting_only,IVW-produce_i3,3,18,0.1667
strict,group,diting_only,SMO-produce_s,1,18,0.0556
strict,group,diting_only,SMO-produce_s2,1,18,0.0556
strict,group,diting_only,SMO-produce_s3,2,18,0.1111
strict,group,diting_only,SMO-shared_memory,1,18,0.0556
strict,group,diting_only,UDO-output,3,18,0.1667
strict,group,diting_only,UDO-produce,2,18,0.1111
strict,group,diting_only,UDO-produce_2,2,18,0.1111
strict,group,llm_only,IVW-produce_i0,1,5,0.2
strict,group,llm_only,IVW-produce_i2,2,5,0.4
strict,group,llm_only,UDO-produce_3,2,5,0.4
strict,group,neither,IVW-produce_i2,2,5,0.4
strict,group,neither,SMO-produce_s3,1,5,0.2
strict,group,neither,SMO-shared_memory,2,5,0.4
