scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,21,50,0.42
line,category,both,input_validation_weakness,16,50,0.32
line,category,both,unencrypted_data_output,13,50,0.26
line,category,diting_only,direct_usage_of_shared_memory,2,16,0.125
line,category,diting_only,input_validation_weakness,7,16,0.4375
line,category,diting_only,unencrypted_data_output,7,16,0.4375
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,9,50,0.18
line,function,both,output,4,50,0.08
line,function,both,produce,4,50,0.08
line,function,both,produce_2,4,50,0.08
line,function,both,produce_3,1,50,0.02
line,function,both,produce_i0,5,50,0.1
line,function,both,produce_i2,2,50,0.04
line,function,both,produce_s,3,50,0.06
line,function,both,produce_s2,3,50,0.06
line,function,both,produce_s3,7,50,0.14
line,function,both,shared_memory,8,50,0.16
line,function,diting_only,input,2,16,0.125
line,function,diting_only,output,3,16,0.1875
line,function,diting_only,produce,2,16,0.125
line,function,diting_only,produce_2,2,16,0.125
line,function,diting_only,produce_i0,1,16,0.0625
line,function,diting_only,produce_i2,1,16,0.0625
line,function,diting_only,produce_i3,3,16,0.1875
line,function,diting_only,produce_s3,1,16,0.0625
line,function,diting_only,shared_memory,1,16,0.0625
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,9,50,0.18
line,group,both,IVW-produce_i0,5,50,0.1
line,group,both,IVW-produce_i2,2,50,0.04
line,group,both,SMO-produce_s,3,50,0.06
line,group,both,SMO-produce_s2,3,50,0.06
line,group,both,SMO-produce_s3,7,50,0.14
line,group,both,SMO-shared_memory,8,50,0.16
line,group,both,UDO-output,4,50,0.08
line,group,both,UDO-produce,4,50,0.08
line,group,both,UDO-produce_2,4,50,0.08
line,group,both,UDO-produce_3,1,50,0.02
line,group,diting_only,IVW-input,2,16,0.125
line,group,diting_only,IVW-produce_i0,1,16,0.0625
line,group,diting_only,IVW-produce_i2,1,16,0.0625
line,group,diting_only,IVW-produce_i3,3,16,0.1875
line,group,diting_only,SMO-produce_s3,1,16,0.0625
line,group,diting_only,SMO-shared_memory,1,16,0.0625
line,group,diting_only,UDO-output,3,16,0.1875
line,group,diting_only,UDO-produce,2,16,0.125
line,group,diting_only,UDO-produce_2,2,16,0.125
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,21,42,0.5
strict,category,both,input_validation_weakness,9,42,0.2143
strict,category,both,unencrypted_data_output,12,42,0.2857
strict,category,diting_only,direct_usage_of_shared_memory,2,23,0.087
strict,category,diting_only,input_validation_weakness,14,23,0.6087
strict,category,diting_only,unencrypted_data_output,7,23,0.3043
strict,category,llm_only,input_validation_weakness,1,3,0.3333
strict,category,llm_only,unencrypted_data_output,2,3,0.6667
strict,category,neither,direct_usage_of_shared_memory,3,7,0.4286
strict,category,neither,input_validation_weakness,4,7,0.5714
strict,function,both,input,4,42,0.0952
strict,function,both,output,4,42,0.0952
strict,function,both,produce,4,42,0.0952
strict,function,both,produce_2,4,42,0.0952
strict,function,both,produce_i0,3,42,0.0714
strict,function,both,produce_i2,2,42,0.0476
strict,function,both,produce_s,3,42,0.0714
strict,function,both,produce_s2,3,42,0.0714
strict,function,both,produce_s3,7,42,0.1667
strict,function,both,shared_memory,8,42,0.1905
strict,function,diting_only,input,7,23,0.3043
strict,function,diting_only,output,3,23,0.1304
strict,function,diting_only,produce,2,23,0.087
strict,function,diting_only,produce_2,2,23,0.087
strict,function,diting_only,produce_i0,3,23,0.1304
strict,function,diting_only,produce_i2,1,23,0.0435
strict,function,diting_only,produce_i3,3,23,0.1304
strict,function,diting_only,produce_s3,1,23,0.0435
strict,function,diting_only,shared_memory,1,23,0.0435
strict,function,llm_only,produce_3,2,3,0.6667
strict,function,llm_only,produce_i2,1,3,0.3333
strict,function,neither,produce_i0,1,7,0.1429
strict,function,neither,produce_i2,3,7,0.4286
strict,function,neither,produce_s3,1,7,0.1429
strict,function,neither,shared_memory,2,7,0.2857
strict,group,both,IVW-input,4,42,0.0952
strict,group,both,IVW-produce_i0,3,42,0.0714
strict,group,both,IVW-produce_i2,2,42,0.0476
strict,group,both,SMO-produce_s,3,42,0.0714
strict,group,both,SMO-produce_s2,3,42,0.0714
strict,group,both,SMO-produce_s3,7,42,0.1667
strict,group,both,SMO-shared_memory,8,42,0.1905
strict,group,both,UDO-output,4,42,0.0952
strict,group,both,UDO-produce,4,42,0.0952
strict,group,both,UDO-produce_2,4,42,0.0952
strict,group,diting_only,IVW-input,7,23,0.3043
strict,group,diting_only,IVW-produce_i0,3,23,0.1304
strict,group,diting_only,IVW-produce_i2,1,23,0.0435
strict,group,diting_only,IVW-produce_i3,3,23,0.1304
strict,group,diting_only,SMO-produce_s3,1,23,0.0435
strict,group,diting_only,SMO-shared_memory,1,23,0.0435
strict,group,diting_only,UDO-output,3,23,0.1304
strict,group,diting_only,UDO-produce,2,23,0.087
strict,group,diting_only,UDO-produce_2,2,23,0.087
strict,group,llm_only,IVW-produce_i2,1,3,0.3333
strict,group,llm_only,UDO-produce_3,2,3,0.6667
strict,group,neither,IVW-produce_i0,1,7,0.1429
strict,group,neither,IVW-produce_i2,3,7,0.4286
strict,group,neither,SMO-produce_s3,1,7,0.1429
strict,group,neither,SMO-shared_memory,2,7,0.2857
