scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,10,41,0.2439
line,category,both,input_validation_weakness,18,41,0.439
line,category,both,unencrypted_data_output,13,41,0.3171
line,category,diting_only,direct_usage_of_shared_memory,13,25,0.52
line,category,diting_only,input_validation_weakness,5,25,0.2
line,category,diting_only,unencrypted_data_output,7,25,0.28
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,11,41,0.2683
line,function,both,output,4,41,0.0976
line,function,both,produce,4,41,0.0976
line,function,both,produce_2,4,41,0.0976
line,function,both,produce_3,1,41,0.0244
line,function,both,produce_i0,5,41,0.122
line,function,both,produce_i2,2,41,0.0488
line,function,both,produce_s,2,41,0.0488
line,function,both,produce_s3,4,41,0.0976
line,function,both,shared_memory,4,41,0.0976
line,function,diting_only,output,3,25,0.12
line,function,diting_only,produce,2,25,0.08
line,function,diting_only,produce_2,2,25,0.08
line,function,diting_only,produce_i0,1,25,0.04
line,function,diting_only,produce_i2,1,25,0.04
line,function,diting_only,produce_i3,3,25,0.12
line,function,diting_only,produce_s,1,25,0.04
line,function,diting_only,produce_s2,3,25,0.12
line,function,diting_only,produce_s3,4,25,0.16
line,function,diting_only,shared_memory,5,25,0.2
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,11,41,0.2683
line,group,both,IVW-produce_i0,5,41,0.122
line,group,both,IVW-produce_i2,2,41,0.0488
line,group,both,SMO-produce_s,2,41,0.0488
line,group,both,SMO-produce_s3,4,41,0.0976
line,group,both,SMO-shared_memory,4,41,0.0976
line,group,both,UDO-output,4,41,0.0976
line,group,both,UDO-produce,4,41,0.0976
line,group,both,UDO-produce_2,4,41,0.0976
line,group,both,UDO-produce_3,1,41,0.0244
line,group,diting_only,IVW-produce_i0,1,25,0.04
line,group,diting_only,IVW-produce_i2,1,25,0.04
line,group,diting_only,IVW-produce_i3,3,25,0.12
line,group,diting_only,SMO-produce_s,1,25,0.04
line,group,diting_only,SMO-produce_s2,3,25,0.12
line,group,diting_only,SMO-produce_s3,4,25,0.16
line,group,diting_only,SMO-shared_memory,5,25,0.2
line,group,diting_only,UDO-output,3,25,0.12
line,group,diting_only,UDO-produce,2,25,0.08
line,group,diting_only,UDO-produce_2,2,25,0.08
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,7,28,0.25
strict,category,both,input_validation_weakness,18,28,0.6429
strict,category,both,unencrypted_data_output,3,28,0.1071
strict,category,diting_only,direct_usage_of_shared_memory,16,37,0.4324
strict,category,diting_only,input_validation_weakness,5,37,0.1351
strict,category,diting_only,unencrypted_data_output,16,37,0.4324
strict,category,llm_only,input_validation_weakness,1,2,0.5
strict,category,llm_only,unencrypted_data_output,1,2,0.5
strict,category,neither,direct_usage_of_shared_memory,3,8,0.375
strict,category,neither,input_validation_weakness,4,8,0.5
strict,category,neither,unencrypted_data_output,1,8,0.125
strict,function,both,input,11,28,0.3929
strict,function,both,output,1,28,0.0357
strict,function,both,produce,1,28,0.0357
strict,function,both,produce_2,1,28,0.0357
strict,function,both,produce_i0,5,28,0.1786
strict,function,both,produce_i2,2,28,0.0714
strict,function,both,produce_s,1,28,0.0357
strict,function,both,produce_s3,3,28,0.1071
strict,function,both,shared_memory,3,28,0.1071
strict,function,diting_only,output,6,37,0.1622
strict,function,diting_only,produce,5,37,0.1351
