scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,9,40,0.225
line,category,both,input_validation_weakness,18,40,0.45
line,category,both,unencrypted_data_output,13,40,0.325
line,category,diting_only,direct_usage_of_shared_memory,14,26,0.5385
line,category,diting_only,input_validation_weakness,5,26,0.1923
line,category,diting_only,unencrypted_data_output,7,26,0.2692
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,11,40,0.275
line,function,both,output,4,40,0.1
line,function,both,produce,4,40,0.1
line,function,both,produce_2,4,40,0.1
line,function,both,produce_3,1,40,0.025
line,function,both,produce_i0,5,40,0.125
line,function,both,produce_i2,2,40,0.05
line,function,both,produce_s,1,40,0.025
line,function,both,produce_s3,4,40,0.1
line,function,both,shared_memory,4,40,0.1
line,function,diting_only,output,3,26,0.1154
line,function,diting_only,produce,2,26,0.0769
line,function,diting_only,produce_2,2,26,0.0769
line,function,diting_only,produce_i0,1,26,0.0385
line,function,diting_only,produce_i2,1,26,0.0385
line,function,diting_only,produce_i3,3,26,0.1154
line,function,diting_only,produce_s,2,26,0.0769
line,function,diting_only,produce_s2,3,26,0.1154
line,function,diting_only,produce_s3,4,26,0.1538
line,function,diting_only,shared_memory,5,26,0.1923
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,11,40,0.275
line,group,both,IVW-produce_i0,5,40,0.125
line,group,both,IVW-produce_i2,2,40,0.05
line,group,both,SMO-produce_s,1,40,0.025
line,group,both,SMO-produce_s3,4,40,0.1
line,group,both,SMO-shared_memory,4,40,0.1
line,group,both,UDO-output,4,40,0.1
line,group,both,UDO-produce,4,40,0.1
line,group,both,UDO-produce_2,4,40,0.1
line,group,both,UDO-produce_3,1,40,0.025
line,group,diting_only,IVW-produce_i0,1,26,0.0385
line,group,diting_only,IVW-produce_i2,1,26,0.0385
line,group,diting_only,IVW-produce_i3,3,26,0.1154
line,group,diting_only,SMO-produce_s,2,26,0.0769
line,group,diting_only,SMO-produce_s2,3,26,0.1154
line,group,diting_only,SMO-produce_s3,4,26,0.1538
line,group,diting_only,SMO-shared_memory,5,26,0.1923
line,group,diting_only,UDO-output,3,26,0.1154
line,group,diting_only,UDO-produce,2,26,0.0769
line,group,diting_only,UDO-produce_2,2,26,0.0769
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,9,37,0.2432
strict,category,both,input_validation_weakness,16,37,0.4324
strict,category,both,unencrypted_data_output,12,37,0.3243
strict,category,diting_only,direct_usage_of_shared_memory,14,28,0.5
strict,category,diting_only,input_validation_weakness,7,28,0.25
strict,category,diting_only,unencrypted_data_output,7,28,0.25
strict,category,llm_only,input_validation_weakness,3,5,0.6
strict,category,llm_only,unencrypted_data_output,2,5,0.4
strict,category,neither,direct_usage_of_shared_memory,3,5,0.6
strict,category,neither,input_validation_weakness,2,5,0.4
strict,function,both,input,9,37,0.2432
strict,function,both,output,4,37,0.1081
strict,function,both,produce,4,37,0.1081
strict,function,both,produce_2,4,37,0.1081
strict,function,both,produce_i0,5,37,0.1351
strict,function,both,produce_i2,2,37,0.0541
strict,function,both,produce_s,1,37,0.027
strict,function,both,produce_s3,4,37,0.1081
strict,function,both,shared_memory,4,37,0.1081
strict,function,diting_only,input,2,28,0.0714
strict,function,diting_only,output,3,28,0.1071
strict,function,diting_only,produce,2,28,0.0714
strict,function,diting_only,produce_2,2,28,0.0714
strict,function,diting_only,produce_i0,1,28,0.0357
strict,function,diting_only,produce_i2,1,28,0.0357
strict,function,diting_only,produce_i3,3,28,0.1071
strict,function,diting_only,produce_s,2,28,0.0714
strict,function,diting_only,produce_s2,3,28,0.1071
strict,function,diting_only,produce_s3,4,28,0.1429
strict,function,diting_only,shared_memory,5,28,0.1786
strict,function,llm_only,produce_3,2,5,0.4
