scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,6,36,0.1667
line,category,both,input_validation_weakness,17,36,0.4722
line,category,both,unencrypted_data_output,13,36,0.3611
line,category,diting_only,direct_usage_of_shared_memory,17,30,0.5667
line,category,diting_only,input_validation_weakness,6,30,0.2
line,category,diting_only,unencrypted_data_output,7,30,0.2333
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,10,36,0.2778
line,function,both,output,4,36,0.1111
line,function,both,produce,4,36,0.1111
line,function,both,produce_2,4,36,0.1111
line,function,both,produce_3,1,36,0.0278
line,function,both,produce_i0,5,36,0.1389
line,function,both,produce_i2,2,36,0.0556
line,function,both,produce_s,1,36,0.0278
line,function,both,produce_s3,2,36,0.0556
line,function,both,shared_memory,3,36,0.0833
line,function,diting_only,input,1,30,0.0333
line,function,diting_only,output,3,30,0.1
line,function,diting_only,produce,2,30,0.0667
line,function,diting_only,produce_2,2,30,0.0667
line,function,diting_only,produce_i0,1,30,0.0333
line,function,diting_only,produce_i2,1,30,0.0333
line,function,diting_only,produce_i3,3,30,0.1
line,function,diting_only,produce_s,2,30,0.0667
line,function,diting_only,produce_s2,3,30,0.1
line,function,diting_only,produce_s3,6,30,0.2
line,function,diting_only,shared_memory,6,30,0.2
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,10,36,0.2778
line,group,both,IVW-produce_i0,5,36,0.1389
line,group,both,IVW-produce_i2,2,36,0.0556
line,group,both,SMO-produce_s,1,36,0.0278
line,group,both,SMO-produce_s3,2,36,0.0556
line,group,both,SMO-shared_memory,3,36,0.0833
line,group,both,UDO-output,4,36,0.1111
line,group,both,UDO-produce,4,36,0.1111
line,group,both,UDO-produce_2,4,36,0.1111
line,group,both,UDO-produce_3,1,36,0.0278
line,group,diting_only,IVW-input,1,30,0.0333
line,group,diting_only,IVW-produce_i0,1,30,0.0333
line,group,diting_only,IVW-produce_i2,1,30,0.0333
line,group,diting_only,IVW-produce_i3,3,30,0.1
line,group,diting_only,SMO-produce_s,2,30,0.0667
line,group,diting_only,SMO-produce_s2,3,30,0.1
line,group,diting_only,SMO-produce_s3,6,30,0.2
line,group,diting_only,SMO-shared_memory,6,30,0.2
line,group,diting_only,UDO-output,3,30,0.1
line,group,diting_only,UDO-produce,2,30,0.0667
line,group,diting_only,UDO-produce_2,2,30,0.0667
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,5,22,0.2273
strict,category,both,input_validation_weakness,13,22,0.5909
strict,category,both,unencrypted_data_output,4,22,0.1818
strict,category,diting_only,direct_usage_of_shared_memory,18,43,0.4186
strict,category,diting_only,input_validation_weakness,10,43,0.2326
strict,category,diting_only,unencrypted_data_output,15,43,0.3488
strict,category,llm_only,input_validation_weakness,2,3,0.6667
strict,category,llm_only,unencrypted_data_output,1,3,0.3333
strict,category,neither,direct_usage_of_shared_memory,3,7,0.4286
strict,category,neither,input_validation_weakness,3,7,0.4286
strict,category,neither,unencrypted_data_output,1,7,0.1429
strict,function,both,input,7,22,0.3182
strict,function,both,output,2,22,0.0909
strict,function,both,produce,1,22,0.0455
strict,function,both,produce_2,1,22,0.0455
strict,function,both,produce_i0,5,22,0.2273
strict,function,both,produce_i2,1,22,0.0455
strict,function,both,produce_s,1,22,0.0455
strict,function,both,produce_s3,1,22,0.0455
strict,function,both,shared_memory,3,22,0.1364
strict,function,diting_only,input,4,43,0.093
strict,function,diting_only,output,5,43,0.1163
strict,function,diting_only,produce,5,43,0.1163
strict,function,diting_only,produce_2,5,43,0.1163
strict,function,diting_only,produce_i0,1,43,0.0233
strict,function,diting_only,produce_i2,2,43,0.0465
strict,function,diting_only,produce_i3,3,43,0.0698
strict,function,diting_only,produce_s,2,43,0.0465
strict,function,diting_only,produce_s2,3,43,0.0698
strict,function,diting_only,produce_s3,7,43,0.1628
strict,function,diting_only,shared_memory,6,43,0.1395
strict,function,llm_only,produce_3,1,3,0.3333
strict,function,llm_only,produce_i2,2,3,0.6667
strict,function,neither,produce_3,1,7,0.1429
strict,function,neither,produce_i0,1,7,0.1429
strict,function,neither,produce_i2,2,7,0.2857
strict,function,neither,produce_s3,1,7,0.1429
strict,function,neither,shared_memory,2,7,0.2857
strict,group,both,IVW-input,7,22,0.3182
strict,group,both,IVW-produce_i0,5,22,0.2273
strict,group,both,IVW-produce_i2,1,22,0.0455
strict,group,both,SMO-produce_s,1,22,0.0455
strict,group,both,SMO-produce_s3,1,22,0.0455
strict,group,both,SMO-shared_memory,3,22,0.1364
strict,group,both,UDO-output,2,22,0.0909
strict,group,both,UDO-produce,1,22,0.0455
strict,group,both,UDO-produce_2,1,22,0.0455
strict,group,diting_only,IVW-input,4,43,0.093
strict,group,diting_only,IVW-produce_i0,1,43,0.0233
strict,group,diting_only,IVW-produce_i2,2,43,0.0465
strict,group,diting_only,IVW-produce_i3,3,43,0.0698
strict,group,diting_only,SMO-produce_s,2,43,0.0465
strict,group,diting_only,SMO-produce_s2,3,43,0.0698
strict,group,diting_only,SMO-produce_s3,7,43,0.1628
strict,group,diting_only,SMO-shared_memory,6,43,0.1395
strict,group,diting_only,UDO-output,5,43,0.1163
strict,group,diting_only,UDO-produce,5,43,0.1163
strict,group,diting_only,UDO-produce_2,5,43,0.1163
strict,group,llm_only,IVW-produce_i2,2,3,0.6667
strict,group,llm_only,UDO-produce_3,1,3,0.3333
strict,group,neither,IVW-produce_i0,1,7,0.1429
strict,group,neither,IVW-produce_i2,2,7,0.2857
strict,group,neither,SMO-produce_s3,1,7,0.1429
strict,group,neither,SMO-shared_memory,2,7,0.2857
strict,group,neither,UDO-produce_3,1,7,0.1429
