line,category,function,label_id,group,llm_strict_hit,diting_strict_hit,llm_line_hit,diting_line_hit,strict_bucket,line_bucket
116,unencrypted_data_output,produce_2,p2-1,UDO-produce_2,1,1,1,1,both,both
117,unencrypted_data_output,produce_2,p2-2,UDO-produce_2,1,1,1,1,both,both
118,unencrypted_data_output,produce_2,p2-3,UDO-produce_2,0,1,0,1,diting_only,diting_only
119,unencrypted_data_output,produce_2,p2-4,UDO-produce_2,0,1,0,1,diting_only,diting_only
121,unencrypted_data_output,produce_2,c9-10,UDO-produce_2,1,1,1,1,both,both
122,unencrypted_data_output,produce_2,c11-12-13,UDO-produce_2,1,1,1,1,both,both
136,unencrypted_data_output,produce,p1-1,UDO-produce,1,1,1,1,both,both
137,unencrypted_data_output,produce,p1-2,UDO-produce,1,1,1,1,both,both
138,unencrypted_data_output,produce,p1-3,UDO-produce,0,1,0,1,diting_only,diting_only
139,unencrypted_data_output,produce,p1-4,UDO-produce,0,1,0,1,diting_only,diting_only
143,unencrypted_data_output,produce,c12,UDO-produce,1,1,1,1,both,both
144,unencrypted_data_output,produce,c345,UDO-produce,1,1,1,1,both,both
154,unencrypted_data_output,produce_3,p1-5,UDO-produce_3,1,0,1,1,llm_only,both
155,unencrypted_data_output,produce_3,p1-6,UDO-produce_3,1,0,1,0,llm_only,llm_only
175,unencrypted_data_output,output,b1,UDO-output,1,1,1,1,both,both
176,unencrypted_data_output,output,b2,UDO-output,1,1,1,1,both,both
177,unencrypted_data_output,output,b3,UDO-output,0,1,0,1,diting_only,diting_only
178,unencrypted_data_output,output,b4,UDO-output,0,1,0,1,diting_only,diting_only
184,unencrypted_data_output,output,f12,UDO-output,1,1,1,1,both,both
185,unencrypted_data_output,output,f345,UDO-output,1,1,1,1,both,both
186,unencrypted_data_output,output,f6,UDO-output,0,1,0,1,diting_only,diting_only
201,input_validation_weakness,produce_i2,p2-1,IVW-produce_i2,1,1,1,1,both,both
202,input_validation_weakness,produce_i2,p2-2,IVW-produce_i2,1,0,1,0,llm_only,llm_only
203,input_validation_weakness,produce_i2,p2-3,IVW-produce_i2,1,1,1,1,both,both
204,input_validation_weakness,produce_i2,p2-4,IVW-produce_i2,0,1,1,1,diting_only,both
208,input_validation_weakness,produce_i2,p2-5,IVW-produce_i2,1,0,1,0,llm_only,llm_only
210,input_validation_weakness,produce_i2,c7,IVW-produce_i2,1,0,1,0,llm_only,llm_only
212,input_validation_weakness,produce_i2,c8,IVW-produce_i2,1,0,1,0,llm_only,llm_only
220,input_validation_weakness,produce_i0,p1-1,IVW-produce_i0,1,1,1,1,both,both
221,input_validation_weakness,produce_i0,p1-2,IVW-produce_i0,1,0,1,0,llm_only,llm_only
222,input_validation_weakness,produce_i0,p1-3,IVW-produce_i0,1,1,1,1,both,both
223,input_validation_weakness,produce_i0,p1-4,IVW-produce_i0,0,1,1,1,diting_only,both
227,input_validation_weakness,produce_i0,p1-5,IVW-produce_i0,1,1,1,1,both,both
231,input_validation_weakness,produce_i0,c1,IVW-produce_i0,1,1,1,1,both,both
238,input_validation_weakness,produce_i0,c2,IVW-produce_i0,1,1,1,1,both,both
254,input_validation_weakness,produce_i3,p1-6,IVW-produce_i3,0,1,0,1,diting_only,diting_only
256,input_validation_weakness,produce_i3,p1-7,IVW-produce_i3,0,1,0,1,diting_only,diting_only
258,input_validation_weakness,produce_i3,c5,IVW-produce_i3,0,1,0,1,diting_only,diting_only
283,input_validation_weakness,input,b1,IVW-input,1,1,1,1,both,both
284,input_validation_weakness,input,b2,IVW-input,1,1,1,1,both,both
285,input_validation_weakness,input,b3,IVW-input,1,1,1,1,both,both
286,input_validation_weakness,input,b4,IVW-input,0,1,1,1,diting_only,both
290,input_validation_weakness,input,b5,IVW-input,1,1,1,1,both,both
291,input_validation_weakness,input,b6,IVW-input,1,1,1,1,both,both
295,input_validation_weakness,input,f1,IVW-input,1,1,1,1,both,both
296,input_validation_weakness,input,f2,IVW-input,1,1,1,1,both,both
306,input_validation_weakness,input,pa3,IVW-input,1,1,1,1,both,both
307,input_validation_weakness,input,pa4,IVW-input,1,1,1,1,both,both
309,input_validation_weakness,input,pa5,IVW-input,1,1,1,1,both,both
319,direct_usage_of_shared_memory,produce_s2,p2-1,SMO-produce_s2,1,1,1,1,both,both
326,direct_usage_of_shared_memory,produce_s2,p2-2,SMO-produce_s2,1,1,1,1,both,both
329,direct_usage_of_shared_memory,produce_s2,p2-3,SMO-produce_s2,0,1,1,1,diting_only,both
334,direct_usage_of_shared_memory,produce_s,p1-1,SMO-produce_s,1,1,1,1,both,both
338,direct_usage_of_shared_memory,produce_s,p1-2,SMO-produce_s,0,1,1,1,diting_only,both
342,direct_usage_of_shared_memory,produce_s,p1-7,SMO-produce_s,1,1,1,1,both,both
357,direct_usage_of_shared_memory,produce_s3,p1-3,SMO-produce_s3,0,1,0,1,diting_only,diting_only
359,direct_usage_of_shared_memory,produce_s3,p1-5,SMO-produce_s3,1,1,1,1,both,both
364,direct_usage_of_shared_memory,produce_s3,p1-6,SMO-produce_s3,0,1,1,1,diting_only,both
368,direct_usage_of_shared_memory,produce_s3,c4,SMO-produce_s3,1,1,1,1,both,both
374,direct_usage_of_shared_memory,produce_s3,c5,SMO-produce_s3,1,1,1,1,both,both
380,direct_usage_of_shared_memory,produce_s3,c6,SMO-produce_s3,1,1,1,1,both,both
385,direct_usage_of_shared_memory,produce_s3,c7,SMO-produce_s3,0,0,0,0,neither,neither
389,direct_usage_of_shared_memory,produce_s3,c8,SMO-produce_s3,1,1,1,1,both,both
393,direct_usage_of_shared_memory,produce_s3,c9,SMO-produce_s3,1,1,1,1,both,both
422,direct_usage_of_shared_memory,shared_memory,b1,SMO-shared_memory,0,1,0,1,diting_only,diting_only
425,direct_usage_of_shared_memory,shared_memory,b3,SMO-shared_memory,1,1,1,1,both,both
432,direct_usage_of_shared_memory,shared_memory,b4,SMO-shared_memory,1,1,1,1,both,both
439,direct_usage_of_shared_memory,shared_memory,b5,SMO-shared_memory,0,0,0,0,neither,neither
443,direct_usage_of_shared_memory,shared_memory,b6,SMO-shared_memory,0,1,1,1,diting_only,both
