scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,7,35,0.2
line,category,both,input_validation_weakness,16,35,0.4571
line,category,both,unencrypted_data_output,12,35,0.3429
line,category,diting_only,direct_usage_of_shared_memory,16,31,0.5161
line,category,diting_only,input_validation_weakness,7,31,0.2258
line,category,diting_only,unencrypted_data_output,8,31,0.2581
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,9,35,0.2571
line,function,both,output,4,35,0.1143
line,function,both,produce,4,35,0.1143
line,function,both,produce_2,3,35,0.0857
line,function,both,produce_3,1,35,0.0286
line,function,both,produce_i0,5,35,0.1429
line,function,both,produce_i2,2,35,0.0571
line,function,both,produce_s,1,35,0.0286
line,function,both,produce_s3,3,35,0.0857
line,function,both,shared_memory,3,35,0.0857
line,function,diting_only,input,2,31,0.0645
line,function,diting_only,output,3,31,0.0968
line,function,diting_only,produce,2,31,0.0645
line,function,diting_only,produce_2,3,31,0.0968
line,function,diting_only,produce_i0,1,31,0.0323
line,function,diting_only,produce_i2,1,31,0.0323
line,function,diting_only,produce_i3,3,31,0.0968
line,function,diting_only,produce_s,2,31,0.0645
line,function,diting_only,produce_s2,3,31,0.0968
line,function,diting_only,produce_s3,5,31,0.1613
line,function,diting_only,shared_memory,6,31,0.1935
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,9,35,0.2571
line,group,both,IVW-produce_i0,5,35,0.1429
line,group,both,IVW-produce_i2,2,35,0.0571
line,group,both,SMO-produce_s,1,35,0.0286
line,group,both,SMO-produce_s3,3,35,0.0857
line,group,both,SMO-shared_memory,3,35,0.0857
line,group,both,UDO-output,4,35,0.1143
line,group,both,UDO-produce,4,35,0.1143
line,group,both,UDO-produce_2,3,35,0.0857
line,group,both,UDO-produce_3,1,35,0.0286
line,group,diting_only,IVW-input,2,31,0.0645
line,group,diting_only,IVW-produce_i0,1,31,0.0323
line,group,diting_only,IVW-produce_i2,1,31,0.0323
line,group,diting_only,IVW-produce_i3,3,31,0.0968
line,group,diting_only,SMO-produce_s,2,31,0.0645
line,group,diting_only,SMO-produce_s2,3,31,0.0968
line,group,diting_only,SMO-produce_s3,5,31,0.1613
line,group,diting_only,SMO-shared_memory,6,31,0.1935
line,group,diting_only,UDO-output,3,31,0.0968
line,group,diting_only,UDO-produce,2,31,0.0645
line,group,diting_only,UDO-produce_2,3,31,0.0968
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,7,28,0.25
strict,category,both,input_validation_weakness,11,28,0.3929
strict,category,both,unencrypted_data_output,10,28,0.3571
strict,category,diting_only,direct_usage_of_shared_memory,16,37,0.4324
strict,category,diting_only,input_validation_weakness,12,37,0.3243
strict,category,diting_only,unencrypted_data_output,9,37,0.2432
strict,category,llm_only,input_validation_weakness,3,4,0.75
strict,category,llm_only,unencrypted_data_output,1,4,0.25
strict,category,neither,direct_usage_of_shared_memory,3,6,0.5
strict,category,neither,input_validation_weakness,2,6,0.3333
strict,category,neither,unencrypted_data_output,1,6,0.1667
strict,function,both,input,6,28,0.2143
strict,function,both,output,3,28,0.1071
strict,function,both,produce,4,28,0.1429
strict,function,both,produce_2,3,28,0.1071
strict,function,both,produce_i0,4,28,0.1429
strict,function,both,produce_i2,1,28,0.0357
strict,function,both,produce_s,1,28,0.0357
strict,function,both,produce_s3,3,28,0.1071
strict,function,both,shared_memory,3,28,0.1071
strict,function,diting_only,input,5,37,0.1351
strict,function,diting_only,output,4,37,0.1081
strict,function,diting_only,produce,2,37,0.0541
strict,function,diting_only,produce_2,3,37,0.0811
strict,function,diting_only,produce_i0,2,37,0.0541
strict,function,diting_only,produce_i2,2,37,0.0541
strict,function,diting_only,produce_i3,3,37,0.0811
strict,function,diting_only,produce_s,2,37,0.0541
strict,function,diting_only,produce_s2,3,37,0.0811
strict,function,diting_only,produce_s3,5,37,0.1351
strict,function,diting_only,shared_memory,6,37,0.1622
strict,function,llm_only,produce_3,1,4,0.25
strict,function,llm_only,produce_i2,3,4,0.75
strict,function,neither,produce_3,1,6,0.1667
strict,function,neither,produce_i0,1,6,0.1667
strict,function,neither,produce_i2,1,6,0.1667
strict,function,neither,produce_s3,1,6,0.1667
strict,function,neither,shared_memory,2,6,0.3333
strict,group,both,IVW-input,6,28,0.2143
strict,group,both,IVW-produce_i0,4,28,0.1429
strict,group,both,IVW-produce_i2,1,28,0.0357
strict,group,both,SMO-produce_s,1,28,0.0357
strict,group,both,SMO-produce_s3,3,28,0.1071
strict,group,both,SMO-shared_memory,3,28,0.1071
strict,group,both,UDO-output,3,28,0.1071
strict,group,both,UDO-produce,4,28,0.1429
strict,group,both,UDO-produce_2,3,28,0.1071
strict,group,diting_only,IVW-input,5,37,0.1351
strict,group,diting_only,IVW-produce_i0,2,37,0.0541
strict,group,diting_only,IVW-produce_i2,2,37,0.0541
strict,group,diting_only,IVW-produce_i3,3,37,0.0811
strict,group,diting_only,SMO-produce_s,2,37,0.0541
strict,group,diting_only,SMO-produce_s2,3,37,0.0811
strict,group,diting_only,SMO-produce_s3,5,37,0.1351
strict,group,diting_only,SMO-shared_memory,6,37,0.1622
strict,group,diting_only,UDO-output,4,37,0.1081
strict,group,diting_only,UDO-produce,2,37,0.0541
strict,group,diting_only,UDO-produce_2,3,37,0.0811
strict,group,llm_only,IVW-produce_i2,3,4,0.75
strict,group,llm_only,UDO-produce_3,1,4,0.25
strict,group,neither,IVW-produce_i0,1,6,0.1667
strict,group,neither,IVW-produce_i2,1,6,0.1667
strict,group,neither,SMO-produce_s3,1,6,0.1667
strict,group,neither,SMO-shared_memory,2,6,0.3333
strict,group,neither,UDO-produce_3,1,6,0.1667
