scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,9,39,0.2308
line,category,both,input_validation_weakness,18,39,0.4615
line,category,both,unencrypted_data_output,12,39,0.3077
line,category,diting_only,direct_usage_of_shared_memory,14,27,0.5185
line,category,diting_only,input_validation_weakness,5,27,0.1852
line,category,diting_only,unencrypted_data_output,8,27,0.2963
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,11,39,0.2821
line,function,both,output,4,39,0.1026
line,function,both,produce,4,39,0.1026
line,function,both,produce_2,3,39,0.0769
line,function,both,produce_3,1,39,0.0256
line,function,both,produce_i0,5,39,0.1282
line,function,both,produce_i2,2,39,0.0513
line,function,both,produce_s,3,39,0.0769
line,function,both,produce_s3,3,39,0.0769
line,function,both,shared_memory,3,39,0.0769
line,function,diting_only,output,3,27,0.1111
line,function,diting_only,produce,2,27,0.0741
line,function,diting_only,produce_2,3,27,0.1111
line,function,diting_only,produce_i0,1,27,0.037
line,function,diting_only,produce_i2,1,27,0.037
line,function,diting_only,produce_i3,3,27,0.1111
line,function,diting_only,produce_s2,3,27,0.1111
line,function,diting_only,produce_s3,5,27,0.1852
line,function,diting_only,shared_memory,6,27,0.2222
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,11,39,0.2821
line,group,both,IVW-produce_i0,5,39,0.1282
line,group,both,IVW-produce_i2,2,39,0.0513
line,group,both,SMO-produce_s,3,39,0.0769
line,group,both,SMO-produce_s3,3,39,0.0769
line,group,both,SMO-shared_memory,3,39,0.0769
line,group,both,UDO-output,4,39,0.1026
line,group,both,UDO-produce,4,39,0.1026
line,group,both,UDO-produce_2,3,39,0.0769
line,group,both,UDO-produce_3,1,39,0.0256
line,group,diting_only,IVW-produce_i0,1,27,0.037
line,group,diting_only,IVW-produce_i2,1,27,0.037
line,group,diting_only,IVW-produce_i3,3,27,0.1111
line,group,diting_only,SMO-produce_s2,3,27,0.1111
line,group,diting_only,SMO-produce_s3,5,27,0.1852
line,group,diting_only,SMO-shared_memory,6,27,0.2222
line,group,diting_only,UDO-output,3,27,0.1111
line,group,diting_only,UDO-produce,2,27,0.0741
line,group,diting_only,UDO-produce_2,3,27,0.1111
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
line,group,neither,IVW-produce_i0,1,5,0.2
line,group,neither,IVW-produce_i2,1,5,0.2
line,group,neither,SMO-produce_s3,1,5,0.2
line,group,neither,SMO-shared_memory,2,5,0.4
strict,category,both,direct_usage_of_shared_memory,7,27,0.2593
strict,category,both,input_validation_weakness,14,27,0.5185
strict,category,both,unencrypted_data_output,6,27,0.2222
strict,category,diting_only,direct_usage_of_shared_memory,16,38,0.4211
strict,category,diting_only,input_validation_weakness,9,38,0.2368
strict,category,diting_only,unencrypted_data_output,13,38,0.3421
strict,category,llm_only,input_validation_weakness,1,2,0.5
strict,category,llm_only,unencrypted_data_output,1,2,0.5
strict,category,neither,direct_usage_of_shared_memory,3,8,0.375
strict,category,neither,input_validation_weakness,4,8,0.5
strict,category,neither,unencrypted_data_output,1,8,0.125
strict,function,both,input,8,27,0.2963
strict,function,both,output,3,27,0.1111
strict,function,both,produce,1,27,0.037
strict,function,both,produce_2,2,27,0.0741
strict,function,both,produce_i0,4,27,0.1481
strict,function,both,produce_i2,2,27,0.0741
strict,function,both,produce_s,2,27,0.0741
strict,function,both,produce_s3,2,27,0.0741
strict,function,both,shared_memory,3,27,0.1111
strict,function,diting_only,input,3,38,0.0789
strict,function,diting_only,output,4,38,0.1053
strict,function,diting_only,produce,5,38,0.1316
strict,function,diting_only,produce_2,4,38,0.1053
strict,function,diting_only,produce_i0,2,38,0.0526
strict,function,diting_only,produce_i2,1,38,0.0263
strict,function,diting_only,produce_i3,3,38,0.0789
strict,function,diting_only,produce_s,1,38,0.0263
strict,function,diting_only,produce_s2,3,38,0.0789
strict,function,diting_only,produce_s3,6,38,0.1579
strict,function,diting_only,shared_memory,6,38,0.1579
strict,function,llm_only,produce_3,1,2,0.5
strict,function,llm_only,produce_i2,1,2,0.5
strict,function,neither,produce_3,1,8,0.125
strict,function,neither,produce_i0,1,8,0.125
strict,function,neither,produce_i2,3,8,0.375
strict,function,neither,produce_s3,1,8,0.125
strict,function,neither,shared_memory,2,8,0.25
strict,group,both,IVW-input,8,27,0.2963
strict,group,both,IVW-produce_i0,4,27,0.1481
strict,group,both,IVW-produce_i2,2,27,0.0741
strict,group,both,SMO-produce_s,2,27,0.0741
strict,group,both,SMO-produce_s3,2,27,0.0741
strict,group,both,SMO-shared_memory,3,27,0.1111
strict,group,both,UDO-output,3,27,0.1111
strict,group,both,UDO-produce,1,27,0.037
strict,group,both,UDO-produce_2,2,27,0.0741
strict,group,diting_only,IVW-input,3,38,0.0789
strict,group,diting_only,IVW-produce_i0,2,38,0.0526
strict,group,diting_only,IVW-produce_i2,1,38,0.0263
strict,group,diting_only,IVW-produce_i3,3,38,0.0789
strict,group,diting_only,SMO-produce_s,1,38,0.0263
strict,group,diting_only,SMO-produce_s2,3,38,0.0789
strict,group,diting_only,SMO-produce_s3,6,38,0.1579
strict,group,diting_only,SMO-shared_memory,6,38,0.1579
strict,group,diting_only,UDO-output,4,38,0.1053
strict,group,diting_only,UDO-produce,5,38,0.1316
strict,group,diting_only,UDO-produce_2,4,38,0.1053
strict,group,llm_only,IVW-produce_i2,1,2,0.5
strict,group,llm_only,UDO-produce_3,1,2,0.5
strict,group,neither,IVW-produce_i0,1,8,0.125
strict,group,neither,IVW-produce_i2,3,8,0.375
strict,group,neither,SMO-produce_s3,1,8,0.125
strict,group,neither,SMO-shared_memory,2,8,0.25
strict,group,neither,UDO-produce_3,1,8,0.125
