scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,9,38,0.2368
line,category,both,input_validation_weakness,17,38,0.4474
line,category,both,unencrypted_data_output,12,38,0.3158
line,category,diting_only,direct_usage_of_shared_memory,14,28,0.5
line,category,diting_only,input_validation_weakness,6,28,0.2143
line,category,diting_only,unencrypted_data_output,8,28,0.2857
line,category,llm_only,input_validation_weakness,3,4,0.75
line,category,llm_only,unencrypted_data_output,1,4,0.25
line,category,neither,direct_usage_of_shared_memory,3,5,0.6
line,category,neither,input_validation_weakness,2,5,0.4
line,function,both,input,10,38,0.2632
line,function,both,output,4,38,0.1053
line,function,both,produce,4,38,0.1053
line,function,both,produce_2,3,38,0.0789
line,function,both,produce_3,1,38,0.0263
line,function,both,produce_i0,5,38,0.1316
line,function,both,produce_i2,2,38,0.0526
line,function,both,produce_s,2,38,0.0526
line,function,both,produce_s3,3,38,0.0789
line,function,both,shared_memory,4,38,0.1053
line,function,diting_only,input,1,28,0.0357
line,function,diting_only,output,3,28,0.1071
line,function,diting_only,produce,2,28,0.0714
line,function,diting_only,produce_2,3,28,0.1071
line,function,diting_only,produce_i0,1,28,0.0357
line,function,diting_only,produce_i2,1,28,0.0357
line,function,diting_only,produce_i3,3,28,0.1071
line,function,diting_only,produce_s,1,28,0.0357
line,function,diting_only,produce_s2,3,28,0.1071
line,function,diting_only,produce_s3,5,28,0.1786
line,function,diting_only,shared_memory,5,28,0.1786
line,function,llm_only,produce_3,1,4,0.25
line,function,llm_only,produce_i2,3,4,0.75
line,function,neither,produce_i0,1,5,0.2
line,function,neither,produce_i2,1,5,0.2
line,function,neither,produce_s3,1,5,0.2
line,function,neither,shared_memory,2,5,0.4
line,group,both,IVW-input,10,38,0.2632
line,group,both,IVW-produce_i0,5,38,0.1316
line,group,both,IVW-produce_i2,2,38,0.0526
line,group,both,SMO-produce_s,2,38,0.0526
line,group,both,SMO-produce_s3,3,38,0.0789
line,group,both,SMO-shared_memory,4,38,0.1053
line,group,both,UDO-output,4,38,0.1053
line,group,both,UDO-produce,4,38,0.1053
line,group,both,UDO-produce_2,3,38,0.0789
line,group,both,UDO-produce_3,1,38,0.0263
line,group,diting_only,IVW-input,1,28,0.0357
line,group,diting_only,IVW-produce_i0,1,28,0.0357
line,group,diting_only,IVW-produce_i2,1,28,0.0357
line,group,diting_only,IVW-produce_i3,3,28,0.1071
line,group,diting_only,SMO-produce_s,1,28,0.0357
line,group,diting_only,SMO-produce_s2,3,28,0.1071
line,group,diting_only,SMO-produce_s3,5,28,0.1786
line,group,diting_only,SMO-shared_memory,5,28,0.1786
line,group,diting_only,UDO-output,3,28,0.1071
line,group,diting_only,UDO-produce,2,28,0.0714
line,group,diting_only,UDO-produce_2,3,28,0.1071
line,group,llm_only,IVW-produce_i2,3,4,0.75
line,group,llm_only,UDO-produce_3,1,4,0.25
