model,f1,precision,catprec,tp,fp,union_f1,union_recall,llm_only_tp,diting_only_tp
DITING,0.833,0.802,---,65,16,---,---,---,---
GPT-5-mini,0.598,0.525,0.853,52,47,0.749,0.933,5,18
GPT-5.2,0.784,0.769,1.000,60,18,0.847,0.960,7,12
Claude Sonnet 4.5,0.662,0.671,0.875,49,24,0.828,0.933,5,21
Claude Haiku 4.5,0.725,0.730,0.964,54,20,0.852,0.960,7,18
DeepSeek V3.2,0.632,0.613,0.845,49,31,0.819,0.933,5,21
Gemini 3.1 Pro,0.766,0.818,1.000,54,12,0.873,0.960,7,18
Qwen3.5-27B,0.621,0.643,0.833,45,25,0.829,0.907,3,23
gemma-3-27b-it,0.512,0.472,0.712,42,47,0.767,0.920,4,27
gemma-4-31B-it,0.736,0.768,0.946,53,16,0.873,0.960,7,19
