line,category,function,label_id,group,votes,consensus_hit
116,unencrypted_data_output,produce_2,p2-1,UDO-produce_2,5,1
117,unencrypted_data_output,produce_2,p2-2,UDO-produce_2,5,1
118,unencrypted_data_output,produce_2,p2-3,UDO-produce_2,0,0
119,unencrypted_data_output,produce_2,p2-4,UDO-produce_2,0,0
121,unencrypted_data_output,produce_2,c9-10,UDO-produce_2,5,1
122,unencrypted_data_output,produce_2,c11-12-13,UDO-produce_2,5,1
136,unencrypted_data_output,produce,p1-1,UDO-produce,5,1
137,unencrypted_data_output,produce,p1-2,UDO-produce,5,1
138,unencrypted_data_output,produce,p1-3,UDO-produce,0,0
139,unencrypted_data_output,produce,p1-4,UDO-produce,0,0
143,unencrypted_data_output,produce,c12,UDO-produce,5,1
144,unencrypted_data_output,produce,c345,UDO-produce,5,1
154,unencrypted_data_output,produce_3,p1-5,UDO-produce_3,5,1
155,unencrypted_data_output,produce_3,p1-6,UDO-produce_3,5,1
175,unencrypted_data_output,output,b1,UDO-output,5,1
176,unencrypted_data_output,output,b2,UDO-output,5,1
177,unencrypted_data_output,output,b3,UDO-output,0,0
178,unencrypted_data_output,output,b4,UDO-output,0,0
184,unencrypted_data_output,output,f12,UDO-output,5,1
185,unencrypted_data_output,output,f345,UDO-output,5,1
186,unencrypted_data_output,output,f6,UDO-output,0,0
201,input_validation_weakness,produce_i2,p2-1,IVW-produce_i2,5,1
202,input_validation_weakness,produce_i2,p2-2,IVW-produce_i2,5,1
203,input_validation_weakness,produce_i2,p2-3,IVW-produce_i2,5,1
204,input_validation_weakness,produce_i2,p2-4,IVW-produce_i2,5,1
208,input_validation_weakness,produce_i2,p2-5,IVW-produce_i2,1,0
210,input_validation_weakness,produce_i2,c7,IVW-produce_i2,5,1
212,input_validation_weakness,produce_i2,c8,IVW-produce_i2,1,0
220,input_validation_weakness,produce_i0,p1-1,IVW-produce_i0,5,1
221,input_validation_weakness,produce_i0,p1-2,IVW-produce_i0,5,1
222,input_validation_weakness,produce_i0,p1-3,IVW-produce_i0,5,1
223,input_validation_weakness,produce_i0,p1-4,IVW-produce_i0,5,1
227,input_validation_weakness,produce_i0,p1-5,IVW-produce_i0,1,0
231,input_validation_weakness,produce_i0,c1,IVW-produce_i0,5,1
238,input_validation_weakness,produce_i0,c2,IVW-produce_i0,1,0
254,input_validation_weakness,produce_i3,p1-6,IVW-produce_i3,0,0
256,input_validation_weakness,produce_i3,p1-7,IVW-produce_i3,0,0
258,input_validation_weakness,produce_i3,c5,IVW-produce_i3,0,0
283,input_validation_weakness,input,b1,IVW-input,5,1
284,input_validation_weakness,input,b2,IVW-input,5,1
285,input_validation_weakness,input,b3,IVW-input,5,1
286,input_validation_weakness,input,b4,IVW-input,5,1
290,input_validation_weakness,input,b5,IVW-input,1,0
291,input_validation_weakness,input,b6,IVW-input,5,1
295,input_validation_weakness,input,f1,IVW-input,5,1
296,input_validation_weakness,input,f2,IVW-input,5,1
306,input_validation_weakness,input,pa3,IVW-input,1,0
307,input_validation_weakness,input,pa4,IVW-input,1,0
309,input_validation_weakness,input,pa5,IVW-input,5,1
319,direct_usage_of_shared_memory,produce_s2,p2-1,SMO-produce_s2,5,1
326,direct_usage_of_shared_memory,produce_s2,p2-2,SMO-produce_s2,5,1
329,direct_usage_of_shared_memory,produce_s2,p2-3,SMO-produce_s2,1,0
334,direct_usage_of_shared_memory,produce_s,p1-1,SMO-produce_s,5,1
338,direct_usage_of_shared_memory,produce_s,p1-2,SMO-produce_s,1,0
342,direct_usage_of_shared_memory,produce_s,p1-7,SMO-produce_s,5,1
357,direct_usage_of_shared_memory,produce_s3,p1-3,SMO-produce_s3,0,0
359,direct_usage_of_shared_memory,produce_s3,p1-5,SMO-produce_s3,5,1
364,direct_usage_of_shared_memory,produce_s3,p1-6,SMO-produce_s3,1,0
368,direct_usage_of_shared_memory,produce_s3,c4,SMO-produce_s3,5,1
374,direct_usage_of_shared_memory,produce_s3,c5,SMO-produce_s3,5,1
380,direct_usage_of_shared_memory,produce_s3,c6,SMO-produce_s3,5,1
385,direct_usage_of_shared_memory,produce_s3,c7,SMO-produce_s3,0,0
389,direct_usage_of_shared_memory,produce_s3,c8,SMO-produce_s3,5,1
393,direct_usage_of_shared_memory,produce_s3,c9,SMO-produce_s3,5,1
422,direct_usage_of_shared_memory,shared_memory,b1,SMO-shared_memory,0,0
425,direct_usage_of_shared_memory,shared_memory,b3,SMO-shared_memory,5,1
432,direct_usage_of_shared_memory,shared_memory,b4,SMO-shared_memory,5,1
439,direct_usage_of_shared_memory,shared_memory,b5,SMO-shared_memory,0,0
443,direct_usage_of_shared_memory,shared_memory,b6,SMO-shared_memory,1,0
447,direct_usage_of_shared_memory,shared_memory,f1,SMO-shared_memory,5,1
453,direct_usage_of_shared_memory,shared_memory,f2,SMO-shared_memory,5,1
459,direct_usage_of_shared_memory,shared_memory,f3,SMO-shared_memory,5,1
464,direct_usage_of_shared_memory,shared_memory,f4,SMO-shared_memory,0,0
468,direct_usage_of_shared_memory,shared_memory,f5,SMO-shared_memory,5,1
472,direct_usage_of_shared_memory,shared_memory,f6,SMO-shared_memory,5,1
