line,category,function,label_id,group,scis_hit,current_hit,status
116,unencrypted_data_output,produce_2,p2-1,UDO-produce_2,1,1,no_change
117,unencrypted_data_output,produce_2,p2-2,UDO-produce_2,1,0,regressed
118,unencrypted_data_output,produce_2,p2-3,UDO-produce_2,0,0,no_change
119,unencrypted_data_output,produce_2,p2-4,UDO-produce_2,0,0,no_change
121,unencrypted_data_output,produce_2,c9-10,UDO-produce_2,1,0,regressed
122,unencrypted_data_output,produce_2,c11-12-13,UDO-produce_2,1,0,regressed
136,unencrypted_data_output,produce,p1-1,UDO-produce,1,1,no_change
137,unencrypted_data_output,produce,p1-2,UDO-produce,1,0,regressed
138,unencrypted_data_output,produce,p1-3,UDO-produce,0,0,no_change
139,unencrypted_data_output,produce,p1-4,UDO-produce,0,0,no_change
143,unencrypted_data_output,produce,c12,UDO-produce,1,0,regressed
144,unencrypted_data_output,produce,c345,UDO-produce,1,0,regressed
154,unencrypted_data_output,produce_3,p1-5,UDO-produce_3,1,1,no_change
155,unencrypted_data_output,produce_3,p1-6,UDO-produce_3,1,0,regressed
175,unencrypted_data_output,output,b1,UDO-output,1,1,no_change
176,unencrypted_data_output,output,b2,UDO-output,1,0,regressed
177,unencrypted_data_output,output,b3,UDO-output,0,0,no_change
178,unencrypted_data_output,output,b4,UDO-output,0,0,no_change
184,unencrypted_data_output,output,f12,UDO-output,1,0,regressed
185,unencrypted_data_output,output,f345,UDO-output,1,0,regressed
186,unencrypted_data_output,output,f6,UDO-output,0,0,no_change
201,input_validation_weakness,produce_i2,p2-1,IVW-produce_i2,0,1,improved
202,input_validation_weakness,produce_i2,p2-2,IVW-produce_i2,0,1,improved
203,input_validation_weakness,produce_i2,p2-3,IVW-produce_i2,1,1,no_change
204,input_validation_weakness,produce_i2,p2-4,IVW-produce_i2,0,0,no_change
208,input_validation_weakness,produce_i2,p2-5,IVW-produce_i2,1,0,regressed
210,input_validation_weakness,produce_i2,c7,IVW-produce_i2,0,1,improved
212,input_validation_weakness,produce_i2,c8,IVW-produce_i2,1,0,regressed
220,input_validation_weakness,produce_i0,p1-1,IVW-produce_i0,0,1,improved
221,input_validation_weakness,produce_i0,p1-2,IVW-produce_i0,0,1,improved
222,input_validation_weakness,produce_i0,p1-3,IVW-produce_i0,1,1,no_change
223,input_validation_weakness,produce_i0,p1-4,IVW-produce_i0,0,0,no_change
227,input_validation_weakness,produce_i0,p1-5,IVW-produce_i0,1,1,no_change
231,input_validation_weakness,produce_i0,c1,IVW-produce_i0,0,1,improved
238,input_validation_weakness,produce_i0,c2,IVW-produce_i0,1,1,no_change
254,input_validation_weakness,produce_i3,p1-6,IVW-produce_i3,0,0,no_change
256,input_validation_weakness,produce_i3,p1-7,IVW-produce_i3,0,0,no_change
258,input_validation_weakness,produce_i3,c5,IVW-produce_i3,0,0,no_change
283,input_validation_weakness,input,b1,IVW-input,0,1,improved
284,input_validation_weakness,input,b2,IVW-input,0,1,improved
285,input_validation_weakness,input,b3,IVW-input,1,1,no_change
286,input_validation_weakness,input,b4,IVW-input,0,1,improved
290,input_validation_weakness,input,b5,IVW-input,1,0,regressed
291,input_validation_weakness,input,b6,IVW-input,0,1,improved
295,input_validation_weakness,input,f1,IVW-input,0,1,improved
296,input_validation_weakness,input,f2,IVW-input,0,1,improved
306,input_validation_weakness,input,pa3,IVW-input,1,0,regressed
307,input_validation_weakness,input,pa4,IVW-input,1,0,regressed
309,input_validation_weakness,input,pa5,IVW-input,0,1,improved
